id,name,description,sector,stage,funding_amount_usd,funding_year,hq_country,hq_city,founded_year,employee_count,revenue_stage,investors,traction_signal
1,NeuraLogic AI,Develops large language models for automated clinical documentation and medical coding. Integrates with Epic and Cerner EHR systems. FDA 510k submitted.,Healthcare AI,Series A,12000000,2023,USA,Boston,2021,45,Pre-revenue,"General Catalyst, a16z Bio","FDA submission, 3 LOIs from hospital systems"
2,GreenVolt Energy,AI-driven battery management software for commercial EV fleets. Reduces charging costs by 34% through predictive load balancing.,Climate Tech,Seed,4500000,2023,USA,Austin,2022,18,Early revenue,"Breakthrough Energy Ventures, Congruent VC","12 fleet operators, $800K ARR"
3,SupplyMind,Real-time supply chain risk intelligence platform using satellite imagery and NLP on shipping data. Serves Fortune 500 manufacturers.,Supply Chain,Series B,38000000,2022,USA,Chicago,2019,120,Growth,"Tiger Global, Insight Partners","$4.2M ARR, 28 enterprise clients"
4,Parcelify,Last-mile delivery optimization for SMB e-commerce. Route ML reduces fuel costs 22%. White-labeled for regional carriers.,Logistics Tech,Seed,2800000,2023,USA,Atlanta,2022,12,Early revenue,"Precursor Ventures, Hustle Fund","3 carrier partnerships, 400 SMB customers"
5,CarbonLedger,Automated Scope 1/2/3 carbon accounting and reporting platform for mid-market companies. SOC2 certified. Integrates with QuickBooks and SAP.,Climate Tech,Series A,9000000,2023,USA,San Francisco,2021,38,Early revenue,"Salesforce Ventures, Congruent VC","$1.1M ARR, 85 paying customers"
6,MedBridge Dx,Point-of-care diagnostic AI for low-resource clinical settings. WHO pre-qualified for malaria and TB detection. Deployed in 6 African countries.,Healthcare AI,Series A,15000000,2022,Kenya,Nairobi,2019,60,Grant-funded,"Omidyar Network, CDC Foundation","800K tests processed, WHO pre-qualification"
7,FinSight Analytics,Automated financial statement analysis and peer benchmarking for investment bankers. Reduces comp table build time from 4 hours to 12 minutes.,Fintech,Seed,3200000,2023,USA,New York,2022,9,Pre-revenue,"Bain Capital Ventures, Operator Collective","18 IB teams in beta, 3 paid pilots"
8,TrustLayer,Insurance certificate verification and compliance automation for construction and real estate. Replaces manual COI review.,Insurtech,Series A,11000000,2022,USA,San Francisco,2020,55,Early revenue,"Anthemis, Ulu Ventures","$1.8M ARR, 200+ brokerages"
9,AgroSense,IoT soil monitoring and AI crop advisory for smallholder farmers in Southeast Asia. Works on 2G. Backed by USAID.,Agritech,Seed,2100000,2022,Indonesia,Jakarta,2021,22,Grant-funded,"USAID, Acumen","14,000 farmers, 6 provinces"
10,DevSecFlow,Automated security code review integrated into GitHub and GitLab CI/CD pipelines. Detects OWASP Top 10 vulnerabilities in pull requests.,Cybersecurity,Seed,5500000,2023,USA,Seattle,2022,16,Early revenue,"Unusual Ventures, YC S23","320 dev teams, $420K ARR"
11,Luminary EdTech,Adaptive learning platform for K-12 math using spaced repetition and diagnostic assessments. Sold directly to school districts.,EdTech,Series A,8000000,2022,USA,Denver,2020,40,Early revenue,"NewSchools Venture Fund, GSV Ventures","62 district contracts, $1.3M ARR"
12,NovaSpin Quantum,Quantum error correction middleware for NISQ-era devices. Partners with IBM Quantum and IonQ. Research-stage.,Deep Tech,Seed,6000000,2023,USA,Cambridge,2022,11,Pre-revenue,"Quantum Wave Fund, In-Q-Tel","2 research partnerships, 4 patents filed"
13,RegenFarms,Regenerative agriculture marketplace connecting carbon credit buyers with verified soil carbon farmers. MRV protocol approved by Verra.,Climate Tech,Series A,13000000,2023,USA,Nashville,2021,35,Early revenue,"S2G Ventures, Prelude Ventures","42 farms, $900K carbon credit revenue"
14,Flowlytics,Product analytics platform for B2B SaaS with built-in session replay and funnel analysis. Competes with Mixpanel at half the price.,SaaS Analytics,Seed,3800000,2023,USA,Austin,2022,14,Early revenue,"Craft Ventures, Operator Collective","280 SaaS companies, $560K ARR"
15,PharmaTrace,Blockchain-based pharmaceutical supply chain serialization for regulatory compliance. FDA DSCSA compliant.,Healthtech,Series B,22000000,2022,USA,Philadelphia,2019,90,Revenue,"Deerfield Management, McKesson Ventures","$3.1M ARR, 14 pharma manufacturers"
